team,Leaderboard_SC1_hour0_AUC,Leaderboard_SC1_hour24_AUC,Leaderboard_SC2_hour0_AUC,Leaderboard_SC2_hour24_AUC,Leaderboard_SC3_hour0_PearsonCor,Leaderboard_SC3_hour24_PearsonCor
aganita,0.578431373,0.676470588,0.48484848484848486,0.6666666666666666,0.054528904905233204,0.3170112087119062
aydin,0.656862745,0.784313725,0.75,0.6893939393939393,0.4494550452099542,0.4320320601715193
benjamin wooden,0.431372549,0.607843137,0.48863636363636365,0.5340909090909092,NA,NA
cgateam,0.490196078,0.661764706,NA,NA,NA,NA
chengzhe tian,0.480392157,0.656862745,0.446969696969697,0.6666666666666667,0.15408628612545375,0.1705859935669273
christofer flinta,0.509803922,0.598039216,0.5000000000000001,0.7348484848484849,NA,NA
cwrupatho,0.588235294,0.81372549,0.590909090909091,0.6893939393939393,0.18500116358747662,0.2168143628466535
es.sj_predictomix,0.696078431,0.764705882,0.42803030303030304,0.5378787878787878,0.24271784871991595,0.23566876284601201
espoir,0.774509804,0.764705882,0.6590909090909091,0.6666666666666666,NA,NA
flu_attack,0.617647059,0.647058824,0.32575757575757575,0.7121212121212122,NA,NA
gustavssonlab_nordlinglab,0.480392157,0.62745098,0.5378787878787878,0.5,0.18892085321859783,0.2918996201704106
hackvirus,NA,NA,0.49242424242424243,0.7651515151515151,NA,NA
jayhawks-rvdc,NA,NA,0.7272727272727273,0.7272727272727273,0.5000377223347062,0.5000377223347062
jdn,0.62745098,0.558823529,0.7348484848484849,0.7348484848484849,0.4717130418655279,0.2805029087215493
jiayi hou,0.343137255,0.450980392,0.4090909090909091,0.45454545454545453,0.2766535286174545,0.28082175182569924
joshua burkhart,NA,NA,NA,NA,0.024195243184430646,0.2947821009499012
nautilus,0.450980392,0.480392157,0.48484848484848486,0.5265151515151515,NA,NA
neo naoned,0.480392157,0.455882353,0.4696969696969697,0.5795454545454545,0.14974775112055172,0.1618664301289305
precisionhunter,0.715686275,0.666666667,NA,NA,NA,NA
ryan chow,0.460784314,0.460784314,0.5378787878787878,0.5378787878787878,-0.07132789660165934,-0.07132789660165934
sbie_kaist,0.544117647,0.656862745,0.5681818181818181,0.5340909090909092,0.22401573951940654,0.02250831421232548
schrodingers cat,0.764705882,0.764705882,0.6590909090909091,0.6590909090909091,0.4491403091810204,0.4491403091810204
shosty,0.578431373,0.656862745,0.5833333333333334,0.5833333333333334,0.09197407285960679,0.01965301031884787
ssn dream team,0.754901961,0.696078431,0.5606060606060607,0.5909090909090908,0.2452302524351441,0.23393055189547085
stanford viral challenge,NA,NA,NA,0.6515151515151515,NA,0.20014466400449288
sunil kumar,0.803921569,0.81372549,0.6893939393939394,0.643939393939394,0.36149307123996804,-0.008726767936974102
templedabi,0.411764706,0.519607843,0.3560606060606061,0.5,-0.2066389486161359,-0.06646821145228803
thebabayaga,0.607843137,NA,0.4318181818181819,NA,NA,NA
txsolo,0.544117647,0.676470588,0.5075757575757576,0.6515151515151515,NA,NA
usp team,0.519607843,0.715686275,0.49242424242424243,0.5719696969696969,0.1137156109686941,0.054342191087403256
virespred,0.514705882,0.514705882,0.5984848484848485,0.5984848484848485,0.533546883439741,0.533546883439741
